number,Height,Width,Length
1,0.082,0.222,0.177
2,0.086,0.478,0.199
3,0.099,0.308,0.272
4,0.05,0.426,0.371
5,0.142,0.365,0.273
6,0.243,0.401,0.25
7,0.137,0.479,0.284
8,0.242,0.374,0.324
9,0.237,0.406,0.308
10,0.12,0.394,0.294
11,0.148,0.364,0.277
12,0.136,0.369,0.273
13,0.22,0.393,0.294
14,0.183,0.392,0.332
15,0.204,0.337,0.284
16,0.16,0.334,0.269
17,0.258,0.462,0.402
18,0.084,0.324,0.241
19,0.226,0.418,0.295
20,0.272,0.393,0.376
21,0.191,0.354,0.348
22,0.216,0.496,0.305
23,0.207,0.358,0.33
24,0.198,0.382,0.305
25,0.238,0.401,0.333
26,0.251,0.473,0.289
