number,Height,Width,Length
1,0.234,0.079,0.195
2,0.418,0.1,0.218
3,0.313,0.099,0.31
4,0.535,0.074,0.337
5,0.364,0.143,0.267
6,0.399,0.24,0.246
7,0.482,0.142,0.29
8,0.384,0.236,0.335
9,0.41,0.236,0.309
10,0.39,0.117,0.294
11,0.37,0.152,0.277
12,0.369,0.136,0.275
13,0.401,0.212,0.307
14,0.39,0.181,0.33
15,0.347,0.205,0.291
16,0.34,0.156,0.298
17,0.471,0.252,0.404
18,0.321,0.089,0.243
19,0.419,0.231,0.294
20,0.607,0.302,0.57
21,0.351,0.192,0.345
22,0.503,0.22,0.312
23,0.377,0.21,0.35
24,0.386,0.196,0.306
25,0.406,0.241,0.336
26,0.475,0.248,0.29
